'"{''#long_link''',long_link,dof,par_axes_y,pitch_joint,p/r_ratio,acc_length,Total,simulated,left
2,0.7,6,4,4,0.2, 3.1}",80,80,0
1,0.7,6,3,4,0, 1.5}",308,308,0
3,0.7,5,0,2,0.67, 2.6}",1104,1104,0
2,0.7,6,0,0,1, 2}",1690,84,1606
5,0.7,6,0,1,0.2, 3.6}",172,172,0
4,0.7,6,2,4,0, 3.1}",295,294,1
3,0.7,6,0,1,0, 3.1}",390,390,0
1,0.7,5,3,3,0, 1.5}",64,64,0
3,0.7,6,3,3,0.2, 3.1}",1140,57,1083
5,0.7,6,0,3,0.2, 3.6}",632,33,599
2,0.7,6,2,5,0, 2}",260,260,0
1,0.7,6,2,3,0, 2.6}",1100,52,1048
3,0.7,6,0,2,0.5, 3.1}",34260,1594,32666
4,0.7,6,2,3,0, 3.6}",220,220,0
0,0.4,6,2,4,0, 1.5}",1121,89,1032
5,0.7,6,3,4,0.2, 3.6}",26,26,0
0,0.4,4,0,0,3, 1.5}",3,3,0
0,0.4,6,0,3,0, 1.5}",2109,274,1835
3,0.7,6,2,3,0.5, 2.6}",1440,68,1372
0,0.4,6,4,4,0.2, 1.5}",152,152,0
4,0.7,6,0,1,0.5, 3.1}",3185,168,3017
4,0.7,6,2,4,0, 3.6}",295,295,0
1,0.7,5,2,3,0.25, 2}",448,384,64
2,0.7,6,2,3,0.2, 2}",1940,87,1853
2,0.7,5,0,0,0.25, 2}",252,252,0
2,0.7,6,3,3,0.5, 3.1}",260,260,0
4,0.7,6,2,2,0.5, 3.1}",770,42,728
1,0.7,5,0,0,0.67, 1.5}",816,816,0
5,0.7,6,0,0,0, 3.6}",1,1,0
1,0.7,4,2,2,0.33, 2}",18,18,0
3,0.7,5,0,1,0.67, 2.6}",1536,1536,0
2,0.7,5,0,3,0.25, 2}",1440,1440,0
1,0.7,5,0,4,0, 1.5}",256,256,0
4,0.7,6,0,1,1, 3.6}",3240,156,3084
5,0.7,6,2,4,0, 3.6}",59,59,0
5,0.7,6,3,3,0.5, 3.6}",26,26,0
5,0.7,6,0,5,0, 3.6}",44,44,0
3,0.7,6,2,4,0, 3.1}",1770,99,1671
1,0.7,6,0,1,1, 1.5}",14256,680,13576
0,0.4,5,2,2,0.67, 1.5}",240,200,40
2,0.7,6,0,0,0, 2}",10,10,0
4,0.7,6,4,4,0, 3.6}",20,20,0
0,0.4,6,0,0,0.5, 2}",594,182,412
1,0.7,6,2,2,0.2, 2.6}",2150,91,2059
