"{'#long_link': 4, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.5, 'acc_length': 3.6}",495
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.2, 'acc_length': 2}",8600
"{'#long_link': 4, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 1.5, 'acc_length': 3.1}",38
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.5, 'acc_length': 1.5}",495
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.5, 'acc_length': 3.1}",6370
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 1.5, 'acc_length': 2}",456
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 1.0, 'acc_length': 2.6}",648
"{'#long_link': 4, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.2, 'acc_length': 3.1}",2970
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 1.0, 'acc_length': 2.6}",5850
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 1.0, 'acc_length': 1.5}",845
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.33, 'acc_length': 1.5}",30
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 3, 'p/r_ratio': 0.25, 'acc_length': 2}",1404
"{'#long_link': 4, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 3, 'p/r_ratio': 0.5, 'acc_length': 3.1}",4050
