Date,Time ,Arm ,Results ,,,,
"19/06/19, 21:01",roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_y_0_4pris_y_0_4,"False,False,False,False,False"
"19/06/19, 21:01",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_y_0_1pris_y_0_4,"False,False,False,False,False"
"19/06/19, 21:01",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_y_0_4pris_y_0_1,"False,False,False,False,False"
"19/06/19, 21:01",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_y_0_4pris_y_0_4,"False,False,False,False,False"
"19/06/19, 21:01",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_y_0_1pris_y_0_1,"False,False,False,False,False"
"19/06/19, 21:01",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_y_0_1pris_y_0_4,"True,False,False,False,False"
"19/06/19, 21:02",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_y_0_4pris_y_0_1,"False,False,False,False,False"
"19/06/19, 21:02",roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_y_0_4pris_y_0_4,"False,False,False,False,False"
"19/06/19, 21:02",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_y_0_1pris_y_0_1,"False,False,False,False,False"
"19/06/19, 21:02",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_y_0_1pris_y_0_4,"False,False,False,False,False"
"19/06/19, 21:02",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_y_0_4pris_y_0_1,"False,False,False,False,False"
"19/06/19, 21:02",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_y_0_4pris_y_0_4,"False,False,False,False,False"
"19/06/19, 21:02",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_y_0_1pris_y_0_1,"False,False,False,False,False"
"19/06/19, 21:02",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_y_0_1pris_y_0_4,"False,False,False,False,False"
"19/06/19, 21:02",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_y_0_4pris_y_0_1,"False,False,False,False,False"
"19/06/19, 21:03",roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_y_0_4pris_y_0_4,"False,False,False,False,False"
"19/06/19, 21:03",roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1roll_y_0_4pris_z_0_4,"False,False,False,False,False"
